Summary,Issue key,Issue Type,Status,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Description,Environment,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (DateTimePicker_TP1),Custom field (Development),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (LargeText_TP1),Custom field (LookupList(Single)_TP1),Custom field (MultiLookupList(Multiple)_TP1),Custom field (MultiLookupList(Multiple)_TP1),Custom field (MultiLookupList(Multiple)_TP1),Custom field (MultiLookupList(Multiple)_TP1),Custom field (MultiLookupList(Multiple)_TP1),Custom field (Number_TP1),Custom field (Rank),Custom field (Story Points),Custom field (String(Text)_TP1),Custom field ([CHART] Date of First Response),Comment,Labels,Labels,Labels
Bug 5001,TP1-5001,Bug,To Do,software,admin,,,Medium,,admin,admin,admin,6/4/2018 10:31,6/11/2018 11:09,6/11/2018 11:11,,v1,v2,v3,v1,v2,v3,comp1,comp2,comp3,,0,,,admin,,,,,,,,,6/11/2018 11:08,{},,,,,Hi,A,A,B,C,D,E,77,0|hzzzzz:,,Hi,,11/Jun/18 11:09 AM;admin;Hi,l1,l1001,cutover
Bug 5002,TP1-5002,Bug,To Do,software,admin,,,Highest,,,admin,admin,5/31/2018 16:32,6/11/2018 10:56,6/11/2018 10:56,,,,,,,,,,,,0,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i00007:,,,,,l2,l1002,2nd-reopen
Bug 5003,TP1-5003,Bug,In Progress,software,admin,,,High,,admin,admin,admin,5/31/2018 15:49,6/11/2018 10:58,6/11/2018 11:09,,,,,,,,,,,,0,bulk desc 1,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0000f:,,,,,l3,l1003,ImpedimentSAP
Bug 5004,TP1-5004,Bug,To Do,software,admin,,,Medium,,,admin,admin,5/31/2018 15:31,5/31/2018 16:22,6/11/2018 11:11,,,,,,,,comp1,comp3,,,0,sdvscvs,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0000n:,,sdfcdsc,,,l4,l1004,GulfTimesheets
Bug 5005,TP1-5005,Bug,In Progress,software,admin,,,High,,,admin,admin,5/30/2018 19:06,6/11/2018 10:57,6/11/2018 10:57,,,,,,,,comp3,,,,0,bulk desc 1,this is environment,,,,,,,,,,,{},,,,,,,,,,,,,0|i0000v:,,,,,l5,l1005,19-36-30
Bug 5006,TP1-5006,Bug,In Progress,software,admin,,,High,,,admin,admin,5/30/2018 18:35,6/11/2018 11:10,6/11/2018 11:10,,,,,,,,comp3,,,,0,bulk desc 1,,,,,,,,,,,,{},,,,,,E,,,,,,,0|i00013:,,,,,l6,l1006,DWM
Bug 5007,TP1-5007,Bug,In Progress,software,admin,,,High,,,admin,admin,5/30/2018 18:34,6/11/2018 10:57,6/11/2018 10:57,,,,,,,,comp3,,,,0,bulk desc 1,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0001b:,,,,,l7,l1007,Lighting
Bug 5008,TP1-5008,Bug,In Progress,software,admin,,,High,,,admin,admin,5/30/2018 16:23,6/11/2018 10:57,6/11/2018 10:57,,,,,,,,comp3,,,,0,bulk desc 1,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0001j:,,,,,l8,l1008,UTC4-Regression
Bug 5009,TP1-5009,Bug,To Do,software,admin,,,Highest,,,admin,admin,5/30/2018 16:22,5/31/2018 11:53,6/11/2018 10:54,,,,,,,,,,,,0,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0001r:,,,,,l9,l1009,UTC4
Bug 5010,TP1-5010,Bug,To Do,software,admin,,,Medium,,,admin,admin,5/30/2018 16:22,5/31/2018 11:53,6/11/2018 11:11,,,,,,,,,,,,0,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0001z:,,,,,l10,l1010,PGD
Bug 5011,TP1-5011,Bug,In Progress,software,admin,,,High,,,admin,admin,5/30/2018 16:08,6/11/2018 10:57,6/11/2018 10:58,,,,,,,,comp3,,,,0,bulk desc 1,,,,,,,,,,,,{},,,,,,,,,,,,,0|i00027:,,,,,l11,l1011,PEMA3
Bug 5012,TP1-5012,Bug,In Progress,software,admin,,,High,,,admin,admin,5/30/2018 15:08,6/11/2018 11:09,6/11/2018 11:09,,,,,,,,comp3,,,,0,bulk desc 1,,,,,,,,,,,,{},,,,,,C,,,,,,,0|i0002f:,,,,,l12,l1012,PEMA5
Bug 5013,TP1-5013,Bug,In Progress,software,admin,,,High,,,admin,admin,5/30/2018 15:05,6/11/2018 11:09,6/11/2018 11:09,,,,,,,,comp3,,,,0,bulk desc 1,,,,,,,,,,,,{},,,,,,B,,,,,,,0|i0002n:,,,,,l13,l1013,Mock10.x
Bug 5014,TP1-5014,Bug,In Progress,software,admin,,,High,,,admin,admin,5/30/2018 14:29,6/11/2018 10:58,6/11/2018 10:58,,v2,v3,,,,,comp3,,,,0,bulk desc 1,this is environment,,,,,,,,,,,{},,,,,,,,,,,,,0|i0002v:,,,,,l14,l1014,FINACCT
Bug 5015,TP1-5015,Bug,In Progress,software,admin,,,High,,,admin,admin,5/30/2018 12:34,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,0,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i00033:,,,,,l15,l1015,tax-defect
Bug 5016,TP1-5016,Bug,In Progress,software,admin,,,High,,admin,admin,admin,5/30/2018 11:58,6/11/2018 11:10,6/11/2018 11:10,,v1,,,v2,,,comp3,,,,0,bulk desc 1,this is environment,,,,,,,,,,,{},,,,,,D,A,,,,,8,0|i0003b:,,bgh,,,l16,l1016,Logo
Bug 5017,TP1-5017,Bug,To Do,software,admin,,,Lowest,,,admin,admin,5/30/2018 11:57,5/30/2018 11:57,6/11/2018 11:11,,,,,,,,comp1,,,,0,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0003j:,,,,,l17,l1017,ClevestFieldOrders
Bug 5018,TP1-5018,Bug,To Do,software,admin,,,Medium,,,admin,admin,5/30/2018 11:52,5/30/2018 11:52,6/11/2018 11:11,,,,,,,,comp1,comp2,comp3,,0,desc task,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0003r:,,,,,l18,l1018,Accuracy
Bug 5019,TP1-5019,Bug,To Do,software,admin,,,Highest,,,admin,admin,5/30/2018 11:43,5/30/2018 11:43,6/11/2018 11:11,,,,,,,,,,,,0,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0003z:,,,,,l19,l1019,Automationofcheckprocessing
Bug 5020,TP1-5020,Bug,To Do,software,admin,,,Low,,,admin,admin,5/28/2018 19:23,6/11/2018 10:58,6/11/2018 10:58,,v2,,,v1,v3,,comp2,comp3,,,0,bulk desc 1_2,this is environment,,,,,,,,,,,{},,,,,ghnjfjfhj123,A,A,C,,,,45,0|i00047:,,dfgdf1234,,,l20,l1020,"Deposit(Initialdeposit,calc,FATCA,1099,Depositadj,MasterDeposits,DepositRefund,Military)"
Bug 5021,TP1-5021,Bug,To Do,software,admin,,,Highest,,,admin,admin,5/28/2018 18:31,5/28/2018 18:31,6/11/2018 11:11,,,,,,,,comp1,,,,0,sdfsdf,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0004f:,,,,,l21,l1021,ContactCenter
